Company;Report URL;Type of Report;Year Published;Industry;Geography
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/EN-Non-Financial-Information-Final%202019.pdf;Sustainability/ESG Report;2019;Passenger Air Transportation;United Kingdom
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/documents/IAG%20Annual%20report%20and%20accounts%202019.pdf;Mainstream Annual Report/Financial Filings;2019;Passenger Air Transportation;United Kingdom
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/documents/consolidated-statement-of-non-financial-information-2020.pdf;Sustainability/ESG Report;2020;Passenger Air Transportation;United Kingdom
IAG;https://www.iairgroup.com/~/media/Files/I/IAG/annual-reports/iag-annual-reports/en/iag-annual-report-and-accounts-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Passenger Air Transportation;United Kingdom
HSBC Holdings;https://www.hsbc.com/investors/results-and-announcements;Mainstream Annual Report/Financial Filings;2020;Banks;United Kingdom
HSBC Holdings;https://www.hsbc.com/esg;Climate/TCFD Report;2020;Banks;United Kingdom
Honda;https://global.honda/content/dam/site/global/about/cq_img/sustainability/report/pdf/2021/Honda-SR-2021-en-all.pdf;Sustainability/ESG Report;2021;Automobiles and Components;Japan
Hon Hai Precision Industry;https://image.honhai.com/financy_by_year/%E9%B4%BB%E6%B5%B7109%E5%B9%B4%E5%A0%B1_EN-v2_(2).pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Taiwan
Hokuriku Electric Power Company;http://www.rikuden.co.jp/eng_ir/attach/integratedreport2020-1.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Japan
Hitachi;https://www.hitachi.com/sustainability/download/pdf/en_sustainability2019.pdf;Sustainability/ESG Report;2019;IT and Communications Services;Japan
Hitachi;https://www.hitachi.com/IR-e/library/integrated/2019/ar2019e.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Japan
Hitachi;https://www.hitachi.com/sustainability/download/pdf/en_sustainability2020_print.pdf;Sustainability/ESG Report;2020;IT and Communications Services;Japan
Hitachi;https://www.hitachi.com/IR-e/library/integrated/2020/ar2020e.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Japan
Hindustan Zinc;https://www.hzlindia.com/E-Annual-Report/pdf/HZL_IR_19_20.pdf;Mainstream Annual Report/Financial Filings;2019;Metals and Mining;India
Hera Group;https://eng.gruppohera.it/documents/1514726/5146282/Sustainability+Report+2019.pdf/a50e7b3b-82b7-5dcb-3573-947450a6b824?t=1610711671817;Sustainability/ESG Report;2019;Multi-Utilities;Italy
Hera Group;https://eng.gruppohera.it/group_eng/sustainability/sustainability-report/sr;Sustainability/ESG Report;2020;Multi-Utilities;Italy
HeidelbergCement;https://www.heidelbergcement.com/en/system/files_force/assets/document/c1/bd/heidelbergcement-sustainability-report-2020.pdf;Sustainability/ESG Report;2020;Construction Materials;Germany
HeidelbergCement;https://www.heidelbergcement.com/en/reports-and-presentations;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Germany
Hannon Armstrong;https://www.hannonarmstrong.com/wp-content/uploads/2019/04/HASI-2018-Annual-Report.pdf;Mainstream Annual Report/Financial Filings;2018;Asset Managers;United States of America
Hannon Armstrong;https://www.hannonarmstrong.com/wp-content/uploads/2020/03/2019-Hannon-Armstrong-Annual-Report.pdf;Mainstream Annual Report/Financial Filings;2019;Asset Managers;United States of America
Hannon Armstrong;https://www.hannonarmstrong.com/wp-content/uploads/2021/04/HASI-Annual-Report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Asset Managers;United States of America
Grupo México;https://www.gmexico.com/GMDocs/InformeSustentable/Eng/IDS2020_FULL_ING.pdf;Sustainability/ESG Report;2020;Metals and Mining;Mexico
Grupo Argos;https://www.grupoargos.com/Portals/0/documentos/IntegratedReportGrupoArgos2020_INGLES.pdf;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Colombia
GPT Group;https://www.gpt.com.au/sites/default/files/2021-02/The%20GPT%20Group%202020%20Annual%20Report.pdf;Mainstream Annual Report/Financial Filings;2020;Real Estate Management and Development;Australia
GPT Group;https://www.gpt.com.au/sites/default/files/document/GPT%202020%20TCFD%20Climate%20Disclosure_3.pdf;Climate/TCFD Report;2020;Real Estate Management and Development;Australia
GPT Group;https://www.gpt.com.au/sites/default/files/2021-02/Climate%20Disclosure%20Statement.pdf;Climate/TCFD Report;2021;Real Estate Management and Development;Australia
Goldman Sachs;https://www.goldmansachs.com/our-commitments/sustainability/sustainable-finance/documents/reports/2019-sustainability-report.pdf;Sustainability/ESG Report;2019;Banks;United States of America
Goldman Sachs;https://www.goldmansachs.com/investor-relations/corporate-governance/sustainability-reporting/tcfd.pdf;Climate/TCFD Report;2019;Banks;United States of America
Goldman Sachs;https://www.goldmansachs.com/our-commitments/sustainability/sustainable-finance/documents/reports/2020-sustainability-report.pdf;Sustainability/ESG Report;2020;Banks;United States of America
Goldfields;https://www.goldfields.com/reports/annual-report-2018/pdf/full.pdf;Mainstream Annual Report/Financial Filings;2018;Metals and Mining;South Africa
Goldfields;https://www.goldfields.com/pdf/tcfd-report/tcfd-report.pdf;Climate/TCFD Report;2018;Metals and Mining;South Africa
Goldfields;https://www.goldfields.com/pdf/investors/integrated-annual-reports/2019/full-iar.pdf;Mainstream Annual Report/Financial Filings;2019;Metals and Mining;South Africa
Goldfields;https://www.goldfields.com/pdf/investors/integrated-annual-reports/2019/tcfd-report-2019.pdf;Climate/TCFD Report;2019;Metals and Mining;South Africa
Goldfields;https://www.goldfields.com/pdf/investors/integrated-annual-reports/2020/iar-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;South Africa
Goldfields;https://www.goldfields.com/pdf/investors/integrated-annual-reports/2020/tcfd-report-2020-gold-fields.pdf;Climate/TCFD Report;2020;Metals and Mining;South Africa
Globe Telecom;https://www.globe.com.ph/content/dam/globe/brie/About-us/sustainability/documents/GLO_IR2020.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Philippines
General Motors;https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_GM_2019.pdf;Sustainability/ESG Report;2019;Automobiles and Components;United States of America
Gazprom;https://www.gazprom.com/f/posts/13/041777/sustainability-report-en-2020.pdf;Sustainability/ESG Report;2020;Oil and Gas;Russia
Galp;https://www.galp.com/corp/Portals/0/Recursos/Investidores/SharedResources/Relatorios/EN/Galp_Integrated_Report_2018.pdf;Mainstream Annual Report/Financial Filings;2018;Oil and Gas;Portugal
Galp;https://www.galp.com/corp/Portals/0/Recursos/Investidores/SharedResources/Relatorios/EN/2019/Galp_PartI_IntegratedManagementReport_2019_ENG.pdf;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;Portugal
Galp;https://www.galp.com/corp/Portals/0/Recursos/Investidores/SharedResources/Relatorios/en/2020/GalpRC20doctotalen.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Portugal
Fujitsu;https://www.fujitsu.com/global/documents/about/resources/reports/sustainabilityreport/2019-report/fujitsudatabook201901-e.pdf;Sustainability/ESG Report;2019;IT and Communications Services;Japan
Fujitsu;https://www.fujitsu.com/global/documents/about/ir/library/integratedrep/IntegratedReport2019-all.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Japan
Fujitsu;https://www.fujitsu.com/global/documents/about/resources/reports/sustainabilityreport/2020-report/fujitsudatabook2020-e.pdf;Sustainability/ESG Report;2020;IT and Communications Services;Japan
Fujitsu;https://www.fujitsu.com/global/documents/about/ir/library/integratedrep/IntegratedReport2020-all.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Japan
Fujifilm;https://ir.fujifilm.com/en/investors/ir-materials/integrated-report/main/0115/teaserItems1/02/linkList/0/link/ff_ir_2019_all_a4.pdf;Mainstream Annual Report/Financial Filings;2019;Capital Goods;Japan
Fresnillo;http://www.fresnilloplc.com/media/488895/200421-fresnillo-ar2020-web.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Mexico
Fortum Oyj;"https://www.fortum.com/about-us/investors/reports-and-presentations?f1896946=category:801;year:2020";Sustainability/ESG Report;2020;Electric and Gas Utilities;Finland
Ford;https://corporate.ford.com/microsites/integrated-sustainability-and-financial-report-2021/files/ir21.pdf;Sustainability/ESG Report;2020;Automobiles and Components;United States of America
Folksam;https://nyhetsrum.folksam.se/en/files/2021/05/S4342_Ars_hallbarhetsrapport_2020_ENG_Final.pdf;Sustainability/ESG Report;2020;Insurance;Sweden
FirstRand;https://www.firstrand.co.za/media/investors/annual-reporting/firstrand-annual-integrated-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;South Africa
Fibra UNO;https://en.funo.mx/panel/archivos_subidos/data-h6xINCS2oP.pdf;Sustainability/ESG Report;2020;Real Estate Management and Development;Mexico
Eskom;https://www.eskom.co.za/IR2020/Pages/default.aspx;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;South Africa
Equinor;https://www.equinor.com/en/sustainability/reporting.html#reports;Sustainability/ESG Report;2020;Oil and Gas;Norway
Equinor;https://www.equinor.com/en/investors/our-dividend/annual-reports-archive.html;Mainstream Annual Report/Financial Filings;2018;Oil and Gas;Norway
Equinor;https://www.equinor.com/en/investors/annual-reports.html#downloads;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;Norway
Equinor;https://www.equinor.com/en/investors/annual-reports.html#downloads;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Norway
Eni;https://www.eni.com/assets/documents/documents-en/Integrated-Annual-Report-2017.pdf;Mainstream Annual Report/Financial Filings;2017;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/Annual-Report-2018.pdf;Mainstream Annual Report/Financial Filings;2018;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/EniFor-2018-Decarbonization.pdf;Climate/TCFD Report;2018;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/eng/reports/2019/Annual-Report-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/eng/just-transition/2019/Eni-for-2019-eng.pdf;Climate/TCFD Report;2019;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/eng/reports/2020/Annual-Report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;Italy
Eni;https://www.eni.com/assets/documents/eng/just-transition/2020/Eni-for-2020-eng.pdf;Climate/TCFD Report;2020;Oil and Gas;Italy
ENEOS Holdings;https://www.hd.eneos.co.jp/english/csr/report/pdf/eneos_en_2019_f.pdf;Sustainability/ESG Report;2020;Oil and Gas;Japan
ENEOS Holdings;https://ssl4.eir-parts.net/doc/5020/ir_material_for_fiscal_ym9/92338/00.pdf;Sustainability/ESG Report;2020;Oil and Gas;Japan
Enel;https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2019/sustainability-report_2019.pdf;Sustainability/ESG Report;2019;Electric and Gas Utilities;Italy
Enel;https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2019/annuali/en/annual-report_2019.pdf;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;Italy
Enel;https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2020/annuali/en/integrated-annual-report_2020.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Italy
EnBW;https://www.enbw.com/media/bericht/bericht_2019/downloads/integrated-annual-report-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;Germany
EnBW;https://www.enbw.com/integrated-annual-report-2020/further-information/download-center/;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Germany
En+ Group;https://enplusgroup.com/upload/iblock/4ec/EN_AR2019_ENG_interactive-_2_.pdf;Mainstream Annual Report/Financial Filings;2019;Metals and Mining;Russia
En+ Group;https://enplusgroup.com/upload/iblock/dc1/EN_AR20_ENG_Final-web-PDF.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Russia
EDP Group;https://www.edp.com/sites/default/files/2021-03/210x297_RC20_EDP_EN_0.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Portugal
EDP Energias do Brasil;https://s3.amazonaws.com/mz-filemanager/fdc31e8d-cd08-47c5-8b5c-3f120d561d2b/f7b023e2-f88e-428f-b00f-5f63b7fee751_EDP_RA2019.2.EN.pdf;Sustainability/ESG Report;2019;Electric and Gas Utilities;Brazil
EDF;https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/reference-document/edf-ddr-2018-en.pdf;Mainstream Annual Report/Financial Filings;2018;Electric and Gas Utilities;France
EDF;https://labrador.cld.bz/EDF-2019-Universal-registration-document;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;France
EDF;https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/urd/edf-urd-annual-financial-report-2020-en-hd.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;France
Ecolab;https://s24.q4cdn.com/931105847/files/doc_financials/2020/ar/Ecolab-Annual-Report-2020-Web-Version.pdf;Mainstream Annual Report/Financial Filings;2020;Water Utilities;United States of America
East Japan Railway Company;https://www.jreast.co.jp/e/environment/pdf_2020/all.pdf;Mainstream Annual Report/Financial Filings;2020;Rail Transportation;Japan
E.ON;https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/investor-relations/en/annual-report/GB20_US_final_internet.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Germany
Dundee Precious Metals;https://s27.q4cdn.com/486073686/files/doc_downloads/2021/01/TCFD-Report_v1_Preview.pdf;Climate/TCFD Report;2020;Metals and Mining;Canada
DS Smith;https://www.dssmith.com/sustainability/reporting-hub/sustainabilityreport;Sustainability/ESG Report;2021;Paper, Packaging and Forest Products;United Kingdom
DNB Group;https://vp267.alertir.com/afw/files/press/dnb_asa/202103107750-2.pdf;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Norway
DNB Group;https://vp267.alertir.com/afw/files/press/dnb_asa/202003043677-1.pdf;Mainstream Annual Report/Financial Filings;2019;Diversified Financials;Norway
DNB Group;https://vp267.alertir.com/afw/files/press/dnb_asa/201903066039-2.pdf;Mainstream Annual Report/Financial Filings;2018;Diversified Financials;Norway
DNB Asset Management;"https://dnb-asset-management.s3.amazonaws.com/ESG-SRI-pdf/DNB-Asset-Management-Responsible-Investments-Report-2019.pdf?mtime=20200323100322&#038;focal=none";Sustainability/ESG Report;2019;Asset Managers;Norway
Deutsche Telekom;https://report.telekom.com/annual-report-2019/servicepages/downloads/files/entire_dtag_ar19.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Germany
Deutsche Telekom;https://report.telekom.com/annual-report-2020/_assets/downloads/entire-dtag-ar20.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Germany
Deutsche Bank;https://www.db.com/ir/en/download/Deutsche_Bank_Non-Financial_Report_2019.pdf;Sustainability/ESG Report;2019;Banks;Germany
Deutsche Bank;https://www.db.com/ir/en/download/Non-Financial_Report_2020.pdf;Sustainability/ESG Report;2020;Banks;Germany
Deutsche Bank;https://www.db.com/ir/en/download/2020_Climate_Statement_12_08_2020.pdf;Climate/TCFD Report;2020;Banks;Germany
Delta;https://www.delta.com/content/dam/delta-www/about-delta/corporate-responsibility/2020-esg-report.pdf;Sustainability/ESG Report;2020;Passenger Air Transportation;United States of America
DBS;https://www.dbs.com/iwov-resources/images/sustainability/reporting/pdf/DBS%20Sustainability%20Report%202019%2020200306.pdf?pid=sg-group-pweb-sustainability-pdf-dbs-sustainability-report-2019;Sustainability/ESG Report;2019;Banks;Singapore
Davivienda;https://sostenibilidad.davivienda.com/en/wp-content/uploads/2021/05/Banco-Davivienda-2020-Annual-Report-1.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Colombia
Danone;https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-all-publications/2018/registrationdocuments/Danone%20-%20Registration%20Document%202018.pdf;Mainstream Annual Report/Financial Filings;2018;Consumer Goods and Apparel;France
Danone;https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-all-publications/2019/registrationdocuments/URD_2019_ENG.pdf;Mainstream Annual Report/Financial Filings;2019;Consumer Goods and Apparel;France
Danone;https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-all-publications/2020/registrationdocuments/urd2020-enaccessible.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;France
Daimler;https://www.daimler.com/documents/investors/reports/annual-report/daimler/daimler-ir-annual-report-2020-incl-combined-management-report-daimler-ag.pdf;Mainstream Annual Report/Financial Filings;2020;Automobiles and Components;Germany
Daimler;https://www.daimler.com/dokumente/investoren/berichte/geschaeftsberichte/daimler/daimler-ir-tcfd-report-2020.pdf;Climate/TCFD Report;2020;Automobiles and Components;Germany
Daikin;https://www.daikin.com/investor/data/report/daikin_jar20.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Japan
Daiichi Sankyo;https://www.daiichisankyo.com/files/investors/library/annual_report/index/pdf/2020_VR/Value%20Report%202020%20EN.pdf;Mainstream Annual Report/Financial Filings;2020;Pharmaceutical;Japan
Dai-ichi Life Holdings;https://www.dai-ichi-life-hd.com/en/investor/library/annual_report/2020/pdf/index_001.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;Japan
Croda International;https://www.croda.com/en-gb/investors/annual-report/annual-report-archive;Mainstream Annual Report/Financial Filings;2019;Chemicals;United Kingdom
Croda International;https://www.croda.com/en-gb/investors/annual-report#;Sustainability/ESG Report;2020;Chemicals;United Kingdom
Croda International;https://www.croda.com/en-gb/investors/annual-report#;Mainstream Annual Report/Financial Filings;2020;Chemicals;United Kingdom
CRH;https://www.crh.com/media/3532/crh-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Republic of Ireland
Credit Suisse;https://www.credit-suisse.com/about-us/en/reports-research/annual-reports.html;Sustainability/ESG Report;2020;Banks;Switzerland
Credit Suisse;https://www.credit-suisse.com/about-us/en/reports-research/annual-reports.html;Mainstream Annual Report/Financial Filings;2020;Banks;Switzerland
Credit Suisse;https://www.credit-suisse.com/sustainability/en/reports.html;Climate/TCFD Report;2020;Banks;Switzerland
Crédit Agricole;https://www.credit-agricole.com/en/finance/finance/regulated-information#;Mainstream Annual Report/Financial Filings;2020;Banks;France
CPP Investments;https://cdn3.cppinvestments.com/wp-content/uploads/2020/11/CPP-Investments-2020-SI-Report-EN-Optimized.pdf;Sustainability/ESG Report;2020;Asset Managers;Canada
CPFL Energia;"https://cpfl.riweb.com.br/show.aspx?idMateria=0hIp7Kkq5lWCz+4goYsegw==&#038;linguagem=en";Sustainability/ESG Report;2019;Electric and Gas Utilities;Brazil
Commonwealth Bank of Australia;https://www.commbank.com.au/content/dam/commbank/about-us/shareholders/pdfs/results/fy18/cba-annual-report-2018.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;Australia
Commonwealth Bank of Australia;https://www.commbank.com.au/content/dam/commbank-assets/about-us/2019-09/cba-annual-report-2019-spreads.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Australia
Commonwealth Bank of Australia;https://www.commbank.com.au/content/dam/commbank/about-us/shareholders/pdfs/results/fy20/cba-2020-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Australia
Coca-Cola Company;https://www.coca-colacompany.com/content/dam/journey/us/en/reports/coca-cola-business-and-sustainability-report-2019.pdf;Sustainability/ESG Report;2019;Beverages;United States of America
Coca-Cola Company;https://d1io3yog0oux5.cloudfront.net/cocacolacompany/files/pages/cocacolacompany/db/761/description/coca-cola-business-environmental-social-governance-report-2020.pdf;Sustainability/ESG Report;2020;Beverages;United States of America
CNH Industrial;https://www.cnhindustrial.com/en-us/sustainability/corporate_sustainability_reports/reports/CNH_Industrial_Sustainability_Report_2020.pdf;Sustainability/ESG Report;2020;Capital Goods;Netherlands
CNH Industrial;https://www.cnhindustrial.com/en-us/investor_relations/financial_information/annual_reports/CNH_Industrial_Annual_EU_report_2020_final.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Netherlands
City Developments Limited;https://www.cdlsustainability.com/pdf/CDL_ISR_2021.pdf;Sustainability/ESG Report;2021;Real Estate Management and Development;Singapore
Citi;https://www.citigroup.com/citi/sustainability/data/finance-for-a-climate-resilient-future-2.pdf?ieNocache=288;Climate/TCFD Report;2020;Banks;United States of America
CGD SA;https://www.cgd.pt/English/Investor-Relations/Financial-Information/CGD/2020/Documents/Annual-Report-CGD-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Portugal
Centrica;https://www.centrica.com/media/4204/annual-report-and-accounts-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;United Kingdom
Cemex;https://www.cemex.com/investors/reports/home#navigate;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Mexico
Cargotec;https://www.cargotec.com/49262c/globalassets/files/investors/reports/2020/cargotec-annual-report-2020-web.pdf;Mainstream Annual Report/Financial Filings;2020;Maritime Transportation;Finland
Canadian National Railway;https://www.cn.ca/en/delivering-responsibly/reports-and-presentations/;Climate/TCFD Report;2019;Rail Transportation;Canada
Canadian National Railway;https://epub.cn.ca/avqf/tuqc/#p=1;Mainstream Annual Report/Financial Filings;2020;Rail Transportation;Canada
Canadian Imperial Bank of Commerce;https://www.cibc.com/content/dam/about_cibc/investor_relations/pdfs/quarterly_results/2020/ar-20-en.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Canada
BTG Pactual;"http://ri.btgpactual.com/conteudo_en.asp?idioma=1&#038;conta=44&#038;tipo=65068";Sustainability/ESG Report;2019;Diversified Financials;Brazil
BT;https://www.bt.com/bt-plc/assets/documents/investors/financial-reporting-and-news/annual-reports/2021/bt-annual-report.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;United Kingdom
British Land;https://www.britishland.com/sites/british-land-corp/files/investors/results-reports-presentations/2021/2021-annual-report.pdf;Mainstream Annual Report/Financial Filings;2021;Real Estate Management and Development;United Kingdom
British American Tobacco;https://www.bat.com/group/sites/UK__9D9KCY.nsf/vwPagesWebLive/DOAWWGJT/$file/BAT_Annual_Report_and_Form_20-F_2020.pdf;Mainstream Annual Report/Financial Filings;2020;Tobacco;United Kingdom
Braskem;https://www.braskem.com.br/portal/Principal/arquivos/relatorio-anual/2019/BRASKEM_RAS2019_ingles.pdf;Sustainability/ESG Report;2019;Chemicals;Brazil
BP;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/bp-tcfd-2020.pdf;Climate/TCFD Report;2020;Oil and Gas;United Kingdom
BP;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2018.pdf;Mainstream Annual Report/Financial Filings;2018;Oil and Gas;United Kingdom
BP;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;United Kingdom
BP;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;United Kingdom
Boston Trust Walden;https://www.bostontrustwalden.com/wp-content/uploads/2021/06/BTW-Task-Force-Climate-related-Financial-Disclosure-June-2021.pdf;Climate/TCFD Report;2021;Asset Managers;United States of America
Boral;https://www.boral.com/sites/corporate/files/media/field_document/annual-report-2020-1.pdf;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Australia
BNP Paribas;https://invest.bnpparibas.com/sites/default/files/documents/bnp2019_urd_en_20_03_13.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;France
BNP Paribas;https://group.bnpparibas/uploads/file/bnpparibas_tcfd_report_en.pdf;Climate/TCFD Report;2019;Banks;France
BNP Paribas;https://invest.bnpparibas.com/sites/default/files/documents/bnp2020_urd_en_final_version_21_03_12.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;France
BNP Paribas;https://cdn-group.bnpparibas.com/uploads/file/tcfd_2020_bnpparibas_en.pdf;Climate/TCFD Report;2020;Banks;France
BMW;https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2021/bericht/BMW-Group-Bericht-2020-EN.pdf;Mainstream Annual Report/Financial Filings;2020;Automobiles and Components;Germany
BMO;https://our-impact.bmo.com/wp-content/uploads/2021/01/BMO-2020-Climate-Report.pdf;Climate/TCFD Report;2020;Banks;Canada
BlueScope Steel;https://s3-ap-southeast-2.amazonaws.com/bluescope-corporate-umbraco-media/media/2915/bsl-2020-sustainability-report.pdf;Sustainability/ESG Report;2020;Metals and Mining;Australia
BlackRock;https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/tcfd-report-2020-blkinc.pdf;Climate/TCFD Report;2020;Asset Managers;United States of America
Biogen;https://www.biogen.com/content/dam/corporate/en_us/YIR-2020/pdfs/TCFD-Disclosure-Statement.pdf;Climate/TCFD Report;2020;Chemicals;United States of America
BHP;https://www.bhp.com/-/media/bhp/documents/investors/reports/2015/bhpbillitonclimatechangeporfolioanalysis2015.pdf?;Climate/TCFD Report;2015;Metals and Mining;Australia
BHP;https://www.bhp.com/-/media/bhp/documents/investors/reports/2016/bhpbillitonclimatechangeporfolioanalysis2016.pdf?;Climate/TCFD Report;2016;Metals and Mining;Australia
BHP;https://www.bhp.com/-/media/documents/investors/annual-reports/2020/200910_bhpclimatechangereport2020.pdf;Climate/TCFD Report;2020;Metals and Mining;Australia
BHP;https://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpannualreport2017.pdf;Mainstream Annual Report/Financial Filings;2017;Metals and Mining;Australia
BHP;https://www.bhp.com/investor-centre/annual-report-2019/-/media/documents/investors/annual-reports/2018/bhpannualreport2018.pdf;Mainstream Annual Report/Financial Filings;2018;Metals and Mining;Australia
BHP;https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf;Mainstream Annual Report/Financial Filings;2019;Metals and Mining;Australia
BHP;https://www.bhp.com/-/media/documents/investors/annual-reports/2020/200915_bhpannualreport2020.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Australia
Benesse Holdings;https://pdf.irpocket.com/C9783/xFFN/cJN8/TCxv.pdf;Mainstream Annual Report/Financial Filings;2019;Commercial and Professional Services;Japan
BBVA;https://accionistaseinversores.bbva.com/wp-content/uploads/2019/03/BBVAin2018_Eng.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;Spain
BBVA;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/03/Annual-Report-2020_ENG1.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Spain
BBVA;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2020/10/BBVA-report-on-TCFD_Eng.pdf;Climate/TCFD Report;2020;Banks;Spain
BASF Group;https://www.basf.com/global/en/investors/calendar-and-publications/publication-finder.html#%7B%220%22%3A%5B%5B%22year%22%2C%5B%222020%22%5D%5D%5D%7D;Mainstream Annual Report/Financial Filings;2019;Chemicals;Germany
BASF Group;https://www.basf.com/global/en/investors/calendar-and-publications/publication-finder.html#%7B%220%22%3A%5B%5B%22year%22%2C%5B%222020%22%5D%5D%5D%7D;Mainstream Annual Report/Financial Filings;2020;Chemicals;Germany
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2017/Barclays-PLC-ESG-Report-2017.pdf;Sustainability/ESG Report;2017;Banks;United Kingdom
