Company;Report URL;Type of Report;Year Published;Industry;Geography
Vale;http://www.vale.com/EN/investors/information-market/annual-reports/sustainability-reports/Sustainability%20Reports/Relatorio_sustentabilidade_vale_2019_alta_en.pdf;Sustainability/ESG Report;2019;Metals and Mining;Brazil
Vale;http://www.vale.com/brasil/en/investors/information-market/annual-reports/reference-form/pages/default.aspx;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;Brazil
UPM;https://ml-eu.globenewswire.com/Resource/Download/92991828-c8d5-429c-b081-6e99d97cf747;Mainstream Annual Report/Financial Filings;2020;Paper, Packaging and Forest Products;Finland
United Utilities Group;https://www.unitedutilities.com/corporate/investors/results-and-presentations/annual-reports/;Mainstream Annual Report/Financial Filings;2019;Multi-Utilities;United Kingdom
United Utilities Group;https://www.unitedutilities.com/corporate/investors/results-and-presentations/annual-reports/;Mainstream Annual Report/Financial Filings;2020;Multi-Utilities;United Kingdom
Uniper;https://ir.uniper.energy/download/companies/uniperag/Sustainability/Uniper-Sustainability-Report-2020-EN.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;Germany
Unilever;https://www.unilever.com/Images/unilever-annual-report-and-accounts-2017_tcm244-516456_en.pdf;Mainstream Annual Report/Financial Filings;2017;Consumer Goods and Apparel;United Kingdom
Unilever;https://www.unilever.com/Images/unilever-annual-report-and-accounts-2018_tcm244-534881_en.pdf;Mainstream Annual Report/Financial Filings;2018;Consumer Goods and Apparel;United Kingdom
Unilever;https://www.unilever.com/Images/unilever-annual-report-and-accounts-2019_tcm244-547893_en.pdf;Mainstream Annual Report/Financial Filings;2019;Consumer Goods and Apparel;United Kingdom
Unilever;https://www.unilever.com/Images/annual-report-and-accounts-2020_tcm244-559824_en.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;United Kingdom
UniCredit;https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/investors/financial-reports/2020/4Q20/2020-Annual-Report-and-Accounts.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Italy
Ultratech Cement;https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/annual-reports/AnnualReport2020-21.pdf;Mainstream Annual Report/Financial Filings;2020;Construction Materials;India
Ultrapar;http://www.ultra.com.br/Ultra/relatorio/2019/en/Ultra_Group_Integrated_Report_2019.pdf;Sustainability/ESG Report;2019;Oil and Gas;Brazil
UBS;https://www.ubs.com/global/en/investor-relations.html;Sustainability/ESG Report;2020;Banks;Switzerland
UBS;https://www.ubs.com/global/en/investor-relations.html;Mainstream Annual Report/Financial Filings;2020;Banks;Switzerland
Toyota;https://global.toyota/pages/global_toyota/ir/library/annual/2019_001_annual_en.pdf;Mainstream Annual Report/Financial Filings;2019;Automobiles and Components;Japan
Toyota;https://global.toyota/pages/global_toyota/sustainability/report/er/er20_en.pdf;Sustainability/ESG Report;2020;Automobiles and Components;Japan
TotalEnergies;https://totalenergies.com/sites/g/files/nytnzq121/files/atoms/files/ddr2017-en-accessible.pdf;Mainstream Annual Report/Financial Filings;2017;Oil and Gas;France
TotalEnergies;https://totalenergies.com/sites/g/files/nytnzq121/files/atoms/files/ddr2018-en.pdf;Mainstream Annual Report/Financial Filings;2018;Oil and Gas;France
TotalEnergies;https://totalenergies.com/sites/g/files/nytnzq121/files/atoms/files/2019_total_universal_registration_document.pdf;Mainstream Annual Report/Financial Filings;2019;Oil and Gas;France
